R1C1,R1C2,R1C3,R1C4,R2C1,R2C2,R2C3,R2C4,R3C1,R3C2,R3C3,R3C4,R4C1,R4C2,R4C3,R4C4,MOVE
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.8,0.0,0.4,0.6,1.0,3.0
0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.2,0.8,0.0,0.4,0.6,1.0,1.0
0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.8,0.0,0.4,0.6,1.0,1.0
0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.2,0.2,0.8,0.2,0.4,0.6,1.0,3.0
0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.8,0.2,0.4,0.6,1.0,1.0
0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.0,0.0,0.4,0.8,0.4,0.4,0.6,1.0,1.0
0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.4,0.8,0.4,0.4,0.6,1.0,0.0
0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.0,0.0,0.6,0.8,0.0,0.4,0.0,1.0,1.0
0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.2,0.2,0.4,0.8,0.4,0.6,0.6,1.0,1.0
0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.4,0.2,0.4,0.4,0.8,0.4,0.6,0.6,1.0,1.0
0.0,0.2,0.0,0.2,0.0,0.0,0.4,0.4,0.2,0.4,0.4,0.8,0.4,0.6,0.6,1.0,3.0
0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.2,0.6,0.8,0.2,0.4,0.8,1.0,0.0
0.2,0.2,0.6,0.4,0.2,0.4,0.8,0.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0
0.4,0.2,0.6,0.4,0.0,0.4,0.8,0.6,0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,1.0
0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.4,0.2,0.6,0.8,0.2,0.4,0.8,1.0,1.0
0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.6,0.4,0.2,0.6,0.8,0.2,0.4,0.8,1.0,2.0
0.2,0.4,0.0,0.0,0.2,0.6,0.2,0.0,0.4,0.2,0.6,0.8,0.2,0.4,0.8,1.0,3.0
0.0,0.0,0.2,0.4,0.2,0.2,0.6,0.2,0.4,0.2,0.6,0.8,0.2,0.4,0.8,1.0,1.0
0.0,0.2,0.0,0.4,0.2,0.0,0.2,0.2,0.4,0.4,0.8,0.8,0.2,0.4,0.8,1.0,1.0
0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.2,0.4,0.2,0.2,0.8,0.2,0.6,1.0,1.0,1.0
0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.2,0.4,0.2,0.2,0.8,0.2,0.6,1.0,1.0,3.0
0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.333,0.0,0.333,0.333,0.667,0.167,0.167,0.5,1.0,3.0
0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.5,0.0,0.167,0.5,0.667,0.0,0.333,0.5,1.0,0.0
0.0,0.167,0.667,0.333,0.167,0.333,0.0,0.5,0.0,0.0,0.0,0.667,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.5,0.167,0.167,0.0,0.667,0.167,0.333,0.667,1.0,3.0
0.0,0.167,0.0,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.333,0.667,0.167,0.333,0.667,1.0,3.0
0.0,0.0,0.167,0.333,0.333,0.0,0.0,0.5,0.0,0.0,0.333,0.667,0.167,0.333,0.667,1.0,3.0
0.0,0.0,0.167,0.333,0.0,0.167,0.333,0.5,0.0,0.0,0.333,0.667,0.167,0.333,0.667,1.0,0.0
0.167,0.167,0.167,0.333,0.0,0.333,0.5,0.5,0.0,0.167,0.667,0.667,0.0,0.0,0.0,1.0,1.0
0.333,0.0,0.0,0.333,0.0,0.167,0.167,0.5,0.0,0.333,0.5,0.667,0.167,0.167,0.667,1.0,1.0
0.0,0.0,0.167,0.333,0.0,0.167,0.167,0.5,0.333,0.333,0.5,0.667,0.167,0.167,0.667,1.0,1.0
0.333,0.0,0.0,0.333,0.0,0.167,0.333,0.5,0.333,0.333,0.5,0.667,0.167,0.167,0.667,1.0,1.0
0.0,0.0,0.167,0.333,0.0,0.167,0.333,0.5,0.5,0.333,0.5,0.667,0.167,0.167,0.667,1.0,3.0
0.0,0.0,0.167,0.333,0.167,0.167,0.333,0.5,0.5,0.333,0.5,0.667,0.0,0.333,0.667,1.0,1.0
0.333,0.0,0.167,0.333,0.0,0.0,0.333,0.5,0.167,0.167,0.5,0.667,0.5,0.5,0.667,1.0,1.0
